"Year","lag0_Unemp.Rt","lag0_Unemp.Rt_Ydf","lag0_BBB.Rt","lag0_BBB.Rt_Ydf","lag0_Mort.Rt","lag0_Mort.Rt_Ydf","lag0_Prime.Rt","lag0_Prime.Rt_Ydf","lag0_DJIA","lag0_DJIA_Ygr","lag0_VIX","lag0_VIX_Ygr","lag0_RGDP.Ygr","lag0_NGDP.Ygr","lag0_NDI.Ygr","lag0_RDI.Ygr","lag0_CPI.Ygr","lag0_BBB.Spd","lag0_BBB.Spd_Ydf","lag1_Unemp.Rt","lag1_Unemp.Rt_Ydf","lag1_BBB.Rt","lag1_BBB.Rt_Ydf","lag1_Mort.Rt","lag1_Mort.Rt_Ydf","lag1_Prime.Rt","lag1_Prime.Rt_Ydf","lag1_DJIA","lag1_DJIA_Ygr","lag1_VIX","lag1_VIX_Ygr","lag1_RGDP.Ygr","lag1_NGDP.Ygr","lag1_NDI.Ygr","lag1_RDI.Ygr","lag1_CPI.Ygr","lag1_BBB.Spd","lag1_BBB_Spd_Ydf"
1998,4.433333333,-0.233333334,6.638,-0.206,6.770999988,-0.427000014,7.919354839,-0.580645161,11317.59,21.71823155,45.74,19.7382199,4.998974158,6.114948284,5.462764812,6.233010635,1.525773154,1.976064516,1.038354839,4.666666667,-0.666666666,6.844,-0.228,7.198000002,-0.489666756,8.5,0.25,9298.188,29.17212456,38.2,73.71532515,4.387704742,6.047954049,4.557189954,5.875521745,1.890756302,0.937709677,0.219903225
1999,4.066666667,-0.366666666,7.941,1.303,7.846500079,1.075500091,8.376984127,0.457629288,13812.67,22.0460363,28.75,-37.14473109,4.694708046,6.438122607,3.321126253,5.309151853,2.619821284,1.79616129,-0.179903226,4.433333333,-0.233333334,6.638,-0.206,6.770999988,-0.427000014,7.919354839,-0.580645161,11317.59,21.71823155,45.74,19.7382199,4.998974158,6.114948284,5.462764812,6.233010635,1.525773154,1.976064516,1.038354839
2000,3.9,-0.166666667,7.914,-0.027,7.612000012,-0.234500067,9.5,1.123015873,12175.88,-11.8499175,31.74,10.4,2.888836594,5.502664692,4.583328491,7.192792998,3.443498912,2.343354839,0.547193549,4.066666667,-0.366666666,7.941,1.303,7.846500079,1.075500091,8.376984127,0.457629288,13812.67,22.0460363,28.75,-37.14473109,4.694708046,6.438122607,3.321126253,5.309151853,2.619821284,1.79616129,-0.179903226
2001,5.5,1.6,7.186,-0.728,6.780166666,-0.831833346,5.180327869,-4.319672131,10707.68,-12.05826601,35.31,11.24763705,0.205058639,2.18672116,1.870103895,3.189374056,1.874880448,2.423903226,0.080548387,3.9,-0.166666667,7.914,-0.027,7.612000012,-0.234500067,9.5,1.123015873,12175.88,-11.8499175,31.74,10.4,2.888836594,5.502664692,4.583328491,7.192792998,3.443498912,2.343354839,0.547193549
2002,5.866666667,0.366666667,7.045,-0.141,6.072000074,-0.708166592,4.456349206,-0.723978663,8343.19,-22.08218774,42.64,20.75899179,2.036158139,3.761225272,3.313772115,5.302913519,2.253521127,3.04016129,0.616258064,5.5,1.6,7.186,-0.728,6.780166666,-0.831833346,5.180327869,-4.319672131,10707.68,-12.05826601,35.31,11.24763705,0.205058639,2.18672116,1.870103895,3.189374056,1.874880448,2.423903226,0.080548387
2003,5.833333333,-0.033333334,5.837,-1.208,5.922333368,-0.149666706,4,-0.456349206,10799.63,29.44245546,21.07,-50.58630394,4.35590867,6.421225166,3.815617214,5.704386864,2.001836529,1.55183871,-1.48832258,5.866666667,0.366666667,7.045,-0.141,6.072000074,-0.708166592,4.456349206,-0.723978663,8343.19,-22.08218774,42.64,20.75899179,2.036158139,3.761225272,3.313772115,5.302913519,2.253521127,3.04016129,0.616258064
2004,5.433333333,-0.4,5.44,-0.397,5.734833272,-0.187500096,4.944444444,0.944444444,11951.46836,10.66553539,16.58,-21.30991932,3.117077029,6.307968316,3.535035086,6.502169698,3.384947804,1.264193548,-0.287645162,5.833333333,-0.033333334,5.837,-1.208,5.922333368,-0.149666706,4,-0.456349206,10799.63,29.44245546,21.07,-50.58630394,4.35590867,6.421225166,3.815617214,5.704386864,2.001836529,1.55183871,-1.48832258
2005,4.966666667,-0.466666666,5.882,0.442,6.222333407,0.487500135,6.971311475,2.026867031,12497.1803,4.566066056,16.47,-0.66344994,3.032171121,6.522742832,1.160049506,4.293361652,3.674677795,1.393803279,0.129609731,5.433333333,-0.4,5.44,-0.397,5.734833272,-0.187500096,4.944444444,0.944444444,11951.46836,10.66553539,16.58,-21.30991932,3.117077029,6.307968316,3.535035086,6.502169698,3.384947804,1.264193548,-0.287645162
2006,4.433333333,-0.533333334,6.121,0.239,6.244166644,0.021833237,8.25,1.278688525,14215.81652,13.75219192,12.67,-23.07225258,2.389831216,5.117474741,4.075271636,5.933876397,1.965395599,1.490354839,0.09655156,4.966666667,-0.466666666,5.882,0.442,6.222333407,0.487500135,6.971311475,2.026867031,12497.1803,4.566066056,16.47,-0.66344994,3.032171121,6.522742832,1.160049506,4.293361652,3.674677795,1.393803279,0.129609731
2007,4.8,0.366666667,6.37,0.249,6.225999975,-0.018166669,7.528225806,-0.721774194,14753.62245,3.78315188,31.09,145.382794,1.867920554,4.399846443,1.199805941,4.577509686,4.031136772,2.103387097,0.613032258,4.433333333,-0.533333334,6.121,0.239,6.244166644,0.021833237,8.25,1.278688525,14215.81652,13.75219192,12.67,-23.07225258,2.389831216,5.117474741,4.075271636,5.933876397,1.965395599,1.490354839,0.09655156
2008,6.866666667,2.066666667,9.386,3.016,5.873333279,-0.352666696,4.046875,-3.481350806,9056.671946,-38.61391006,80.86,160.0836282,-2.766845876,-0.922010446,1.126578778,2.618596537,1.595802802,6.151322581,4.047935484,4.8,0.366666667,6.37,0.249,6.225999975,-0.018166669,7.528225806,-0.721774194,14753.62245,3.78315188,31.09,145.382794,1.867920554,4.399846443,1.199805941,4.577509686,4.031136772,2.103387097,0.613032258
2009,9.933333333,3.066666666,6.133,-3.253,4.919000022,-0.954333257,3.25,-0.796875,11385.10862,25.70962808,30.69,-62.04551076,-0.240790286,0.114090131,-0.712905226,0.471603268,1.487656364,2.668967742,-3.482354839,6.866666667,2.066666667,9.386,3.016,5.873333279,-0.352666696,4.046875,-3.481350806,9056.671946,-38.61391006,80.86,160.0836282,-2.766845876,-0.922010446,1.126578778,2.618596537,1.595802802,6.151322581,4.047935484
2010,9.5,-0.433333333,5.039,-1.094,4.413000003,-0.506000019,3.25,0,13131.46676,15.33896775,23.54,-23.29749104,2.730729822,4.556345038,2.618675971,3.936141181,1.229783901,2.160612903,-0.508354839,9.933333333,3.066666666,6.133,-3.253,4.919000022,-0.954333257,3.25,-0.796875,11385.10862,25.70962808,30.69,-62.04551076,-0.240790286,0.114090131,-0.712905226,0.471603268,1.487656364,2.668967742,-3.482354839
2011,8.633333333,-0.866666667,4.981,-0.058,4.006000014,-0.406999989,3.25,0,13019.32797,-0.853970025,45.45,93.07561597,1.682174175,3.644732177,1.662461302,4.369097736,3.344727696,2.934278689,0.773665786,9.5,-0.433333333,5.039,-1.094,4.413000003,-0.506000019,3.25,0,13131.46676,15.33896775,23.54,-23.29749104,2.730729822,4.556345038,2.618675971,3.936141181,1.229783901,2.160612903,-0.508354839
2012,7.8,-0.833333333,3.877,-1.104,3.3598333,-0.646166714,3.25,0,14834.88372,13.94508038,22.72,-50.0110011,1.277130801,3.243524038,5.052807604,6.903202543,1.903567832,2.16995082,-0.764327869,8.633333333,-0.866666667,4.981,-0.058,4.006000014,-0.406999989,3.25,0,13019.32797,-0.853970025,45.45,93.07561597,1.682174175,3.644732177,1.662461302,4.369097736,3.344727696,2.934278689,0.773665786
2013,6.933333333,-0.866666667,4.798,0.921,4.3015,0.9416667,3.25,0,19413.17207,30.86163961,20.34,-10.47535211,2.66245458,4.311143564,-2.844312631,-1.677112668,1.21796608,2.053806452,-0.116144368,7.8,-0.833333333,3.877,-1.104,3.3598333,-0.646166714,3.25,0,14834.88372,13.94508038,22.72,-50.0110011,1.277130801,3.243524038,5.052807604,6.903202543,1.903567832,2.16995082,-0.764327869
2014,5.7,-1.233333333,4.194,-0.604,3.965333333,-0.336166667,3.25,0,21424.58463,10.3610711,26.25,29.0560472,2.487036134,4.072376896,4.542710795,5.831997,1.188791879,1.918032258,-0.135774194,6.933333333,-0.866666667,4.798,0.921,4.3015,0.9416667,3.25,0,19413.17207,30.86163961,20.34,-10.47535211,2.66245458,4.311143564,-2.844312631,-1.677112668,1.21796608,2.053806452,-0.116144368
2015,5,-0.7,4.567,0.373,3.900833333,-0.0645,3.290322581,0.040322581,21100.93197,-1.510660139,24.39,-7.085714286,1.878085095,2.999061733,3.032152696,3.47598622,0.4046903,2.376516129,0.458483871,5.7,-1.233333333,4.194,-0.604,3.965333333,-0.336166667,3.25,0,21424.58463,10.3610711,26.25,29.0560472,2.487036134,4.072376896,4.542710795,5.831997,1.188791879,1.918032258,-0.135774194
2016,4.7,-0.3,4.075,-0.492,3.812666667,-0.088166666,3.545081967,0.254759386,23276.72827,10.31137536,22.51,-7.708077081,1.956254131,3.548302127,1.906973021,3.375976221,1.810473949,1.936311475,-0.440204654,5,-0.7,4.567,0.373,3.900833333,-0.0645,3.290322581,0.040322581,21100.93197,-1.510660139,24.39,-7.085714286,1.878085095,2.999061733,3.032152696,3.47598622,0.4046903,2.376516129,0.458483871
